Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Colombia,5082762,128821,4923433.0,30508.0,98394,2494,28382350.0,549433.0,51657480
Comoros,4548,151,4324.0,73.0,5076,169,,,896027
Congo,18970,354,12421.0,6195.0,3321,62,188207.0,32951.0,5711769
Costa Rica,567614,7318,555649.0,4647.0,109991,1418,2715029.0,526111.0,5160565
Croatia,631765,11269,594929.0,25567.0,155260,2769,3512277.0,863165.0,4069070
Cuba,963194,8310,954294.0,590.0,85112,734,11219671.0,991423.0,11316734
Curaçao,17487,180,17209.0,98.0,105948,1091,341980.0,2071953.0,165052
Cyprus,137538,602,124370.0,12566.0,112744,493,9477138.0,7768681.0,1219916
Czechia,2262666,33902,1942950.0,285814.0,210728,3157,44927649.0,4184230.0,10737376
Denmark,516257,2956,450846.0,62455.0,88683,508,96055602.0,16500569.0,5821351
Djibouti,13508,188,13294.0,26.0,13394,186,248627.0,246529.0,1008512
Dominica,6086,42,5644.0,400.0,84246,581,110635.0,1531471.0,72241
Dominican Republic,408748,4212,402627.0,1909.0,37148,383,2483666.0,225720.0,11003287
DRC,58858,1113,50930.0,6815.0,630,12,306299.0,3278.0,93441531
Ecuador,529349,33484,443880.0,51985.0,29367,1858,2047260.0,113576.0,18025509
Egypt,364033,20770,302259.0,41004.0,3464,198,3693367.0,35145.0,105088625
El Salvador,119803,3789,102982.0,13032.0,18338,580,1440742.0,220534.0,6532970
Equatorial Guinea,13599,175,13346.0,78.0,9260,119,242340.0,165009.0,1468650
Eritrea,7484,61,7271.0,152.0,2069,17,23693.0,6551.0,3616500
Estonia,225837,1826,209180.0,14831.0,170082,1375,2371887.0,1786315.0,1327810
Eswatini,47851,1248,45280.0,1323.0,40644,1060,395038.0,335540.0,1177321
Ethiopia,372334,6804,349735.0,15795.0,3128,57,3902783.0,32790.0,119024277
Faeroe Islands,3957,13,3393.0,551.0,80545,265,577000.0,11744830.0,49128
Fiji,52562,697,51125.0,740.0,58033,770,463157.0,511365.0,905726
Finland,194638,1383,46000.0,147255.0,35051,249,8041534.0,1448137.0,5553022
France,7928572,119535,7211423.0,597614.0,121084,1826,170480237.0,2603549.0,65479937
French Guiana,46205,329,11254.0,34622.0,149183,1062,458171.0,1479307.0,309720
French Polynesia,46324,636,,,163557,2246,,,283228
Gabon,37511,281,33424.0,3806.0,16305,122,1412633.0,614019.0,2300634
Gambia,9992,342,9640.0,10.0,3975,136,125061.0,49757.0,2513444
Georgia,871580,12466,813872.0,45242.0,219088,3134,11879804.0,2986210.0,3978221
Germany,6219169,103913,5170400.0,944856.0,73891,1235,85782441.0,1019196.0,84166800
Ghana,131246,1228,129326.0,692.0,4102,38,1933408.0,60422.0,31998273
Gibraltar,7376,100,6991.0,285.0,219022,2969,421776.0,12524156.0,33677
Greece,971148,18716,883066.0,69366.0,93828,1808,38293362.0,3699747.0,10350264
Grenada,5909,200,5641.0,68.0,52168,1766,88276.0,779355.0,113268
Guadeloupe,55284,748,2250.0,52286.0,138133,1869,551264.0,1377396.0,400222
Guatemala,619891,15992,602820.0,1079.0,33711,870,3151236.0,171370.0,18388494
Guinea,30770,387,29725.0,658.0,2256,28,569940.0,41783.0,13640616
Guinea-Bissau,6444,149,6277.0,18.0,3168,73,107685.0,52934.0,2034337
Guyana,38217,1008,36268.0,941.0,48255,1273,398500.0,503172.0,791975
Haiti,25638,750,21746.0,3142.0,2210,65,132422.0,11415.0,11601026
